Rank,Player,Team,Position,Age,Speed
198," Cowart, Kaleb",,2B,25,27.4
199," Forsythe, Logan",,2B,30,27.4
200," Tomlinson, Kelby",,2B,27,27.4
201," Dietrich, Derek",,3B,28,27.4
202," Rasmus, Colby",,LF,31,27.4
203," Contreras, Willson",,C,25,27.4
204," Moroff, Max",,2B,24,27.4
205," Parker, Jarrett",,LF,28,27.4
206," Galvis, Freddy",,SS,28,27.4
207," Amarista, Alexi",,SS,28,27.4
208," Perkins, Cameron",,LF,27,27.4
209," Hernandez, Enrique",,LF,26,27.4
210," Aybar, Erick",,SS,33,27.4
211," Arcia, Orlando",,SS,23,27.3
212," Bradley Jr., Jackie",,CF,27,27.3
213," Drury, Brandon",,2B,25,27.3
214," Barnes, Austin",,C,28,27.3
215," Travis, Devon",,2B,26,27.3
216," Kivlehan, Patrick",,RF,28,27.3
217," Camargo, Johan",,3B,24,27.3
218," Candelario, Jeimer",,3B,24,27.3
219," Jones, Ryder",,1B,23,27.3
220," Thames, Eric",,1B,31,27.3
221," Barney, Darwin",,2B,32,27.3
222," Hernandez, Marco",,3B,25,27.3
223," Holt, Brock",,2B,29,27.3
224," Robertson, Daniel",,2B,23,27.3
225," Haniger, Mitch",,RF,27,27.3
226," Panik, Joe",,2B,27,27.2
227," LeMahieu, DJ",,2B,29,27.2
228," Goodwin, Brian",,CF,27,27.2
229," Rojas, Miguel",,SS,28,27.2
230," Marrero, Deven",,3B,27,27.2
231," Knapp, Andrew",,C,26,27.2
232," Valencia, Danny",,1B,33,27.2
233," Rosales, Adam",,SS,34,27.2
234," Pinder, Chad",,RF,25,27.2
235," Osuna, Jose",,RF,25,27.2
236," Seager, Corey",,SS,23,27.2
237," Rendon, Anthony",,3B,27,27.2
238," Kipnis, Jason",,2B,30,27.2
239," Espinosa, Danny",,2B,30,27.1
240," Lowrie, Jed",,2B,33,27.2
241," Jones, Adam",,CF,32,27.2
242," Herrmann, Chris",,C,30,27.1
243," Telis, Tomas",,1B,26,27.1
244," Renfroe, Hunter",,RF,25,27.1
245," Arroyo, Christian",,3B,22,27.1
246," Donaldson, Josh",,3B,32,27.1
247," Jaso, John",,RF,34,27.1
248," Delmonico, Nicky",,LF,25,27.1
249," Sanchez, Adrian",,2B,27,27.1
250," Schimpf, Ryan",,3B,29,27.1
251," Gurriel, Yuli",,1B,33,27.1
252," Duvall, Adam",,LF,29,27.1
253," Brugman, Jaycob",,CF,25,27.1
254," Cooper, Garrett",,1B,27,27.1
255," Santana, Domingo",,RF,25,27.1
256," Castro, Starlin",,2B,27,27.1
257," Marte, Jefry",,1B,26,27.1
258," Zimmerman, Ryan",,1B,33,27
259," Machado, Manny",,3B,25,27
260," Lamb, Jake",,3B,27,27
261," Piscotty, Stephen",,RF,26,27
262," Schoop, Jonathan",,2B,26,27
263," Aoki, Norichika",,LF,35,27
264," Hicks, John",,1B,28,27
265," Young, Chris",,LF,34,27
266," Abreu, Jose",,1B,30,27
267," Rua, Ryan",,1B,27,27
268," Kinsler, Ian",,2B,35,27
269," Tejada, Ruben",,SS,28,27
270," Pederson, Joc",,CF,25,27
271," Morrison, Logan",,1B,30,27
272," Calhoun, Kole",,RF,30,27
273," Goins, Ryan",,SS,29,26.9
274," Mancini, Trey",,LF,25,26.9
275," Bell, Josh",,1B,25,26.9
276," Pennington, Cliff",,2B,33,26.9
277," Weeks Jr., Rickie",,DH,35,26.9
278," d'Arnaud, Travis",,C,28,26.9
279," Sano, Miguel",,3B,24,26.9
280," Goldschmidt, Paul",,1B,30,26.9
281," Heisey, Chris",,LF,33,26.9
282," Martinez, J.D.",,RF,30,26.8
283," Descalso, Daniel",,2B,31,26.8
284," Zobrist, Ben",,2B,36,26.8
285," Adrianza, Ehire",,SS,28,26.8
286," Mazara, Nomar",,RF,22,26.8
287," Diaz, Elias",,C,27,26.8
288," Braun, Ryan",,LF,34,26.8
289," Choo, Shin-Soo",,RF,35,26.8
290," Chisenhall, Lonnie",,RF,29,26.8
291," Franklin, Nick",,LF,26,26.8
